title,price
Penne all'Arrabbiata,7
Rigatoni all'Amatriciana,"6,5"
Penne al Tonno Piccanti,"8,8"
Orecchiette agli Spinaci e Peperoncino,"7,99"
"Fettuccine con Guanciale, Funghi e Panna","6,9"
Fettuccine al Sugo con Polpette,"7,5"
Fettuccine alla Carbonara,"6,7"
"Orecchiette ai Funghi, Guanciale e Panna","7,2"
Orecchiette al Sugo di Polpettine,"6,6"
Fettuccine al Ragù,"8,1"
Orecchiette con Cima di Rapa,"7,7"
Strozzapreti con Broccoli e Salsiccia,"7,9"
Strozzapreti con Funghi e Salsiccia,"7,4"
Orecchiette con Salsiccia e Cicoria,0
Spaghetti con Salsiccia e Cicoria,"7,7"
Orecchiette con Broccoli e Salsiccia,"7,2"
Strozzapreti con Salsiccia e Cicoria,"7,9"
Ravioli al Ragù,"8,8"
Strozzapreti ai Straccetti di Pollo e Besciamella,"6,8"
Fettuccine al Sugo e Salsiccia,"4,5"
Rigatoni al Sugo con Salsiccia,"11,5"
Rigatoni al Ragù,14
Spaghetti alle Vongole e Cozze,"6,9"
Fettuccine Pirati dei Caraibi,"6,9"
Orecchiette al Ragù,"7,2"
"Orecchiette con Guanciale, Funghi e Salsiccia","11,5"
"Penne con Carne Trita, Guanciale e Besciamella","7,9"
Fettuccine con Vongole,"7,5"
Strozzapreti con Zucchine e Guanciale,"8,4"
Spaghetti di Soia Pomodoro,"9,9"
Spaghetti di Soia Amatriciana,"6,9"
Spaghetti di Soia con Polpette,"7,2"
Spaghetti di Soia Carbonara,"7,4"
Spaghetti di Soia con Pollo e Salse,"6,9"
Spaghetti di Soia con Verdure e Carne,"5,9"
Fettuccine Funghi e Salsiccia,"9,9"
Fettuccine Funghi e Guanciale,"6,2"
Orecchiete Funghi e Zucchine,"4,1"
Orecchiete Funghi e Salsiccia,"5,3"
Orecchiete al Sugo,"5,9"
Orecchiete alla Carbonara,"8,7"
Strozzapreti Funghi e Guanciale,"7,7"
Tonnarelli con Funghi e Guanciale e Panna,"7,9"
Tonnarelli con Sugo e Polpette,"6,3"
Tonnarelli alla Carbonara,"7,2"
Tonnarelli Amatriciana,"6,2"
Tonnarelli con Sugo di Salsiccia,"7,9"
Tonnarelli al Tonno Piccanti,"7,9"
Ravioli Ripieni con Cime di Rapa al Sugo,"7,3"
Ravioli Ripieni con Carne al Sugo,"6,9"
Fettuccine Cime di Rapa,"7,4"
Tonnarelli con Funghi e Salsiccia,"6,9"
Gnocchi alla Sorrentina,"7,2"
Gnocchi al Ragù,"7,9"
Penne con Carne Trita e Guanciale,"7,4"
Tonnarelli alle Cozze,0
Ravioli Ripieni al Prosciutto Crudo e Sugo,"6,96"
"Ravioli Ripieni di Prosciutto Crudo, Burro e Salvia","6,8"
Tortellini Ricotta e Spinaci alle Cime di Rapa,"5,99"
Tortellini al Sugo di Salsiccia,"7,18"
Tortellini alla Salvia,0
Tortellini al Sugo di Polpettine,0
Tortellini Cacio e Pepe,0
Tortellini Guanciale Funghi e Besciamella,"7,3"
Tortelloni con Spinaci e Mozzarella al Sugo,"7,8"
Pappardelle con Peperoni e Panna,"7,99"
"Pappardelle con Funghi, Salsiccia e Panna","8,99"
Pappardelle con Funghi Guanciale e Panna,"9,5"
Pappardelle al Ragù,"11,5"
Gnocchetti Sardi al Sugo di Salsiccia,"9,5"
Cannelloni ripieni con carne al sugo,0
Bocconcini di Pollo,"7,5"
"Petto di Pollo in Salsa Besciamella, Limone e Prezzemolo","8,7"
Salsiccia con Broccoli,"7,9"
Salsiccia e Spinaci,"8,3"
Salsiccia e Patate,2
Braciola di Vitello con Funghi,"7,3"
Braciola con Patate,"7,4"
Wurstel e Patate,"6,9"
Pane,0
Broccoli e Salsiccia,"8,2"
Cicoria e Salsiccia,"8,5"
Cicoria e Guanciale,"7,7"
Saltimbocca alla Romana,"8,5"
Petto di Pollo con Cicoria,"9,8"
Polpettine e Guanciale,"8,9"
Polpettine e Cicoria,"10,5"
Petto di Pollo e Patate,"9,9"
Spezzatino al Sugo con Patate,"7,9"
Braciola con Cicoria,"8,2"
Soutè di Vongole,"9,3"
Soutè di Cozze,"11,5"
Spezzatino con Cicoria,"11,5"
Spezzatino con Broccoli,"12,9"
Spezzatino e Funghi,"12,9"
Polenta al Sugo di Salsiccia,11
Lenticchie e Salsiccia,0
Fettine di Manzo con Funghi,"6,5"
Fettine di Manzo con Patate,"6,9"
Fettine di Manzo,"7,9"
"Polpettone, Uova, Carote, Prosciutto Cotto e Spinaci",0
Polpettine al Sugo,"6,9"
Petto di Pollo in Salsa di Limone e Besciamella,0
Bistecca di Vitello con Patate,"7,1"
"Polpettone con Carote, Salame, Uovo e Mozzarella al Sugo","7,9"
Piselli e Guanciale al Sugo,0
Salsiccia e Patate in Bianco,"7,99"
Salsiccia e Cicoria,"8,99"
Polpettine in Salsa di Limone e Besciamella,"7,99"
"Wurstel con Cipolla, Salsa Ketchup e Sugo",0
Hamburger con Contorno di Patate al Forno con Aromi,"6,9"
