Title,price
Menù Single,"15,00"
Menù Coppia,"27,00"
Menù Famiglia,"52,00"
"Hamburger di Manzo 180g, cicoria, provola e BBQ","12,00"
"Hamburger di Manzo 170g, Maionese, Insalata e Pomodoro","12,00"
Panino con Pollo Croccante,"10,00"
Le Polpette Croccanti  di Bollito di Manzo alla Picchiapò,"10,00"
Fiori di zucca fritti,"7,50"
Fresella 3 pomodori zucchine burrata,"8,00"
Parmigiana di melanzane non fritta,"8,50"
Rigatoni alla Amatriciana,"11,00"
Carbonara,"11,00"
Fusillone integrale zucchine romanesche burrata e scorza di limone,"11,50"
Pollo Croccante con Insalatina Mista,"12,00"
Pollo Croccante con Patatine Fritte,"12,00"
Pollo Croccante con Verdure,"12,00"
Entrecote di Black Angus 300g con Verdure e Pata,"21,00"
Salmone Scottato con Wok di Verdure,"18,00"
"Pollo Piastrato, Riso Basmati con Wok di Verdure, Salsa Curry Thai Leggera","14,00"
Mix di Verdure,"7,00"
Cicoria,"5,00"
Insalata Verde,"5,00"
Caesar Salad,"10,00"
Patatine Fritte,"3,00"
Tiramisù Monoporzione,"5,00"
Cheescake ai Frutti Rossi,"5,00"
Crema al Mascarpone e Crumble,"5,00"
Torta del Giorno,"5,00"
Biscotteria Secca,"5,00"
Acqua Naturale,"1,00"
Acqua Frizzante,"1,00"
Coca Cola 33cl,"3,00"
Coca Cola Zero 33cl,"3,00"
Chinottissimo 20cl,"2,50"
Arancissima 20cl,"2,50"
Gazzosissima 20cl,"2,50"
Cedrata Tassoni 18cl,"3,00"
La Chi 33cl,"7,00"
Bomber IPA 33cl,"7,00"
Fia dei Fiori 33cl,"7,00"
Cesanese de Notrari,"18,00"
Soremidio Tenuta Sant'Isidoro,"29,00"
Riflessi Circeo DOC Sant’Andrea,"16,00"
Racemo L'Olivella Sangiovese IGT 2019,"23,00"
Merlot 2020 IGT,"25,00"
Nerobuono Montepulciano IGT 2020,"26,00"
Violone 2019 DOP,"26,00"
Racemo L'Olivella Cesanese IGT 2019,"23,00"
Nerobuono Casenese IGT 2020,"26,00"
Merlot Civitella Rosso IGT,"27,00"
Montepulciano Civitella Rosso IGT,"27,00"
Casenese Del Piglio Riserva 2019 DOCG,"36,00"
Pinot Nero IGT 2019,"39,00"
Cesanese del Piglio Riserva 2019 DOCG,"43,00"
SoraLuisa Tenuta Sant’Isidoro,"16,00"
Oppidum Sant’Andrea,"16,00"
Templum Sant’Andrea,"0,00"
Riflessi Circeo DOC Sant’Andrea,"15,00"
Villa Cavalletti Spumante Brut Metodo Classico,"20,00"
Tufaio Spumante Pas Dosè Metodo Classico,"26,00"
Spumante Rosè Extra Brut Metodo Classico Pinot Noir 2020,"20,00"
Spumante Millesimato Brut Metodo Classico da Uve Bellone 2020,"33,00"
Spumante Millesimato Extra Brut Metodo Classico da Uve Nerobuono 2018,"41,00"
Amaro Jefferson,"5,00"
Amaro Formidabile,"4,00"
Amaro Neri al Chinotto,"4,00"
Amaro Neri al Chinotto e Menta,"4,00"
Amaro Vertigo,"4,00"
Grappa Bianca Poli,"4,00"
Grappa Barrique Marzadro,"4,00"
Capitolium Sant'Andrea Moscato di Terracina Passito,"5,00"
