title,price
Componi il tuo pokè regular,"11,9"
Componi il tuo pokè large,"13,9"
Emame,4
Wakame,4
Miso soup,3
Fresella tonno crudo - 1 pezzo,6
Fresella salmone crudo - 1 pezzo,6
Fresella salmone cotto - 1 pezzo,6
Bowl classico,"10,9"
Bowl Chicken,"12,9"
Bowl poke poke,"12,5"
Bowl black salmon,"11,9"
Bowl tonno hawa,"11,9"
Bowl salmon Anaua,"11,5"
Bowl white fish,"10,9"
Bowl vegan,"9,9"
Tacos di salmone,6
Tacos misto di pesce,6
Orange,6
Redtuna,6
Whitebass,6
Mochi cocco - 1 pezzo,"2,5"
Mochi cioccolato - 1 pezzo,"2,5"
Mochi cheesecake - 1 pezzo,"2,5"
Mochi sesamo nero - 1 pezzo,2
Mochi mango - 1 pezzo,2
Mochi fragola - 1 pezzo,2
Acqua Detox Levissima 50 cl,"2,5"
Acqua frizzante Wami 50 cl,"1,5"
Acqua naturale Poke 50cl,"1,5"
Aloe vera 33 cl,"2,5"
Chinotto Bio Polara 275ml,3
Coca-Cola Lattina 330ml,"2,5"
Coca-Cola Zero Lattina 330ml,"2,5"
Limonata Bio Polara 275ml,"2,5"
Tè verde Arizona,"2,5"
Ichnusa 33 cl,"3,5"
Menabrea 33 cl,"3,5"
Asahi 50 cl,4
Saporro 50 cl,"4,5"
