title,price
Menù Panino Kebab,"9,9"
Menù Piadina Kebab,"9,9"
Menù Panino Falafel,8
Piatto Sarmale,7
Piatto Riso,5
Tavola Cal,8
Mezzo Pollo,"8,5"
Piatto Coscia di Pollo,8
Piatto con Ali di Pollo,8
Calzone,5
Hot Dog,3
Piatto Kebab,"9,9"
Panino Kebab,7
Piadina Kebab,7
Piatto Falafel,7
Falafel,"0,8"
Panino Falafel,"5,5"
Piadina Falafel,"5,5"
Patatine Fritte,3
Baccala,"1,5"
Suppli,"1,5"
Olive Ascolane,"4,5"
Fiore di Zucca,"1,5"
Crocchette di Patate,"4,5"
Chele di Granchio,"1,2"
Ali di Pollo,"0,8"
Kayif,5
Baklava,5
Sarma Dolce,5
Acqua Naturale,"1,5"
Acqua Frizzante,"1,5"
Bibita in Lattina,2
Bibita in Bottiglia 50cl,"2,5"
"Bibita in Bottiglia 1,5L","3,5"
Birra 33cl,"2,5"
Birra 66cl,"3,5"
Vino,7
Prosecco,15
