title,price
Pinsa marinara,"4,9"
Pinsa Margherita,"5,4"
Pinsa Patate,"5,4"
Pinsa Crostino,"5,4"
Pinsa Napoli,"5,9"
Pinsa salsa verde e pomodorini,"5,9"
Pinsa Funghi Champignon e Salsiccia,"5,9"
Pinsa Amatriciana,"6,9"
Pinsa Carbonara,"6,9"
Pinsa Parmigiana,"6,9"
Pinsa Fiori e Alici,"6,9"
Pinsa Ortolana,"6,9"
Capricciosa,7
"Pinsa Mozzarella di Bufala, Pomodoro Pachino e Basilico","7,2"
"Pinsa Mela, Cipolla, Guanciale e Pecorino","7,2"
"Pinsa Patate, Rosmarino e Guanciale","7,2"
"Pinsa Radicchio, Gorgonzola e Noci","7,2"
"Pinsa Melanzane, Provola e Pomodori Secchi","7,2"
"Pinsa Zucca, Provola e Pancetta",0
"Pinsa Crema Zucchine, Menta, Pecorino e Guanciale",0
"Pinsa Pesto, Speck, Pomodoro Pachino e Mozzarella di Bufala","7,9"
"Pinsa 4 Formaggi, Funghi Porcini e Tartufo","8,2"
"Pinsa Mortadella, Stracciatella e Pistacchio","8,2"
"Pinsa Patate, Salmone e Tartufo","8,2"
"Pinsa Rucola, Tonno, Stracciatella e Pomodoro Pachino","8,2"
"Datterini gialli, bufala e pesto di rucola","7,6"
"Pinsa Crema Zucchine, Menta, Mozzarella di Bufala e Salmone",0
"Crema di Peperoni, Parmigiano e Salsiccia",0
"Cicoria, Stracciatella e Salsiccia","8,2"
"Pinsa zucchine, stracchino e salmone","7,6"
"Pinsa melanzane, crudo e stracciatella","7,6"
"Pinsa rucola, bufala e salmone","7,6"
"Capocollo, Stracciatella e Zucchine Fritte",0
"Crema di Broccoli, Pecorino e Salsiccia",0
"Pinsa provola, salsiccia e cipolla","7,6"
"Pinsa cicoria, salsiccia e nduja","7,6"
Pinsa patate e porchetta,"7,6"
Ciauscolo e Stracchino,"7,9"
Norma,0
Pinsa nutella,"7,4"
Pinsa marinara XL,"5,9"
Margherita XL,"6,4"
Patate XL,"6,4"
Crostino XL,"6,4"
Napoli XL,"6,9"
Funghi e salsiccia XL,"6,9"
Amatriciana XL,"7,9"
Carbonara XL,"7,9"
Pinsa salsa verde e pomodorini XL,"6,9"
Parmigiana XL,"7,9"
Fiori e alici XL,"7,9"
Ortolana XL,"7,9"
"Bufala, pachino e basilico XL","8,2"
"Mela, ciopolla, guanciale e pecorino XL","8,2"
"Patate, rosmarino e guanciale XL","8,2"
"Radicchio, gorgonzola e noci XL","8,2"
"Melanzane, provola e pomodori secchi XL","8,2"
"Crema di zucchine, pecorino e guanciale XL",0
"Pesto, speck, pachino e bufala XL","8,9"
"4 formaggi, porcini e tartufo XL","9,2"
"Mortadella, stracciatella e pistacchio XL","9,2"
"Patate, salmone e tartufo XL","9,2"
"Rucola, tonno, stracciatella e pachino XL","9,2"
"Crema di zucchine, bufala e salmone XL",0
"Crema di peperoni, parmigiano e salsiccia XL",0
"Broccoli, pecorino e salsiccia XL",0
"Cicoria, stracciatella e salsiccia XL","9,2"
"Capocollo, stracciatella e zucchine fritte XL",0
Ciauscolo e stracchino XL,"8,9"
Norma XL,0
"Pinsa zucchine, stracchino e salmone XL","8,6"
"Pinsa datterini gialli, bufala e pesto di rucola XL","8,6"
"Pinsa rucola, bufala e salmone XL","8,6"
"Pinsa melanzane, crudo e stracciatella XL","8,6"
"Pinsa provola, salsiccia e cipolla XL","8,6"
"Pinsa cicoria, nduja e salsiccia XL","8,6"
Pinsa patate e porchetta XL,"8,6"
Pinsa nutella XL,"8,4"
Focaccia,3
Focaccia XL,4
Supplì,"1,9"
Crocchette,"1,9"
Supplì Nduja,"2,4"
Supplì Cacio e Pepe,"2,4"
Arancini Bianchi,"2,4"
Arancini Rossi,"2,4"
Olive all'Ascolana,0
Fiori di Zucca,"2,9"
Baccalà,"3,4"
Acqua San Benedetto,"2,4"
Acqua Nepi,"2,4"
Bibita in Lattina,"2,4"
Coca Cola in Vetro 33cl,"3,2"
"Bibita 1,5L","3,9"
Ichnusa 33cl,"3,9"
Ichnusa non Filtrata 50cl,"4,4"
Birra 66cl,"3,9"
