title,price
Tartufo Artigianale Bianco,"6,50"
Tartufo Artigianale Nero,"6,50"
Tartufo al Limone e Limoncello,"7,00"
Tartufo con Crema Inglese,"7,50"
Tartufo con Noci e Fichi,"7,50"
Tartufo al Pistacchio,"8,00"
Tartufo al Roucher,"8,00"
Tortino Cheesecake ai Frutti di Bosco,"6,50"
Tortino con Cocco e Nutella,"6,50"
Tortino Orero,"6,50"
Tortino con Ricotta e Pera,"6,50"
Tortino Tiramisù,"5,50"
Tortino con Ricotta e Pistacchio,"6,50"
Croccantino al Rum,"6,50"
Acqua Naturale,"1,20"
Acqua Effervescente Naturale,"1,20"
Bibita in Lattina,"1,80"
Bibita in Bottiglia 50cl,"2,20"
Birra 33cl,"3,00"
Birra 66cl,"3,00"
IPA,"5,50"
Strong 33cl,"5,50"
Golden Ale,"5,50"
Corvo Salaparuta,"15,00"
Fumaio Banfi,"12,00"
Vipra Bigi,"12,00"
Pecorino Bove,"15,00"
Prosecco Valdobbiadene Superiore,"16,00"
