title,price
Pokè Fai da te Snack,"10,90"
Pokè Fai da te Classic,"12,90"
Pokè Fai da te Deluxe,"14,90"
Menù Big Salmone 24 Pezzi,"20,00"
Nigiri Sake 10 Pezzi,"15,00"
Mix Nigiri 10 Pezzi,"15,00"
Sashimi Sake 10 Pezzi,"10,00"
Mix Sashimi 10 Pezzi,"10,00"
Sushi Bento 12 Pezzi,"11,50"
Sushi Fun 15 Pezzi,"18,50"
Involtini Primavera,"2,50"
Takoyaki,"4,00"
Edamame,"4,00"
Goma Wakame,"4,00"
Ravioli di Carne al Vapore,"4,00"
Ravioli di Carne alla Griglia,"4,00"
Ravioli di Verdure al Vapore,"4,00"
Ravioli di Verdure alla Griglia,"4,00"
Chicken Strips,"4,00"
Onion Rings,"5,00"
Potato Dippers,"4,00"
Potato Pops,"0,00"
Pulled Pork Bites,"5,00"
Mozzarelline Sticks,"5,00"
Cream Cheese Peppers,"4,50"
Red Hot Jalapenos,"4,50"
Falafel,"3,50"
Nigiri Sake,"3,00"
Nigiri Salmone Flambè,"3,00"
Nigiri Maguro,"3,00"
Nigiri Maguro Flambè,"3,00"
Nigiri Tai,"3,00"
Nigiri Ebi,"3,00"
Onigiri Sake,"5,00"
Onigiri Tempura,"5,00"
Uramaki Sake Avocado,"4,00"
Uramaki Tuna Avocado,"4,00"
Uramaki Kani Avocado,"4,00"
Uramaki Ebiten,"4,00"
Uramaki Philadelphia Sake,"4,00"
Uramaki Philadelphia Tuna,"4,00"
Uramaki Philadelphia Kani,"4,00"
Uramaki Philadelphia Ebiten,"4,00"
Uramaki Spicy Sake Crudo,"4,00"
Uramaki Spicy Tuna,"4,00"
Uramaki Spicy Kani,"4,00"
Uramaki Spicy Ebiten 4 Pezzi,"4,00"
Uramaki Spicy Sake Coto,"4,00"
Hosomaki Sake,"4,00"
Hosomaki Tekka,"4,00"
Hosomaki Kani,"4,00"
Hosomaki Ebi,"4,00"
Hosomaki Ebi Salmon,"4,50"
Hosomaki Avocado,"3,50"
Hosomaki Kappa,"3,50"
Sashimi di Salmone,"1,00"
Sashimi Spigola,"1,00"
Sashimi di Tonno,"1,00"
Tartare di Salmone,"10,00"
Tartare di Tonno,"10,00"
Tartare di Spigola,"10,00"
Temaki Sake philadelphia,"5,00"
Temaki Maguro,"5,00"
Temaki Chicken,"5,00"
Temaki Tempura,"5,00"
Riso Saltati con Verdure,"5,00"
Riso alla Cantonese,"5,00"
Riso Saltati con Pollo,"7,00"
Pad Thai Pollo,"10,00"
Riso Saltati con Gamberi,"7,00"
Riso Anatra,"8,00"
Riso Saltati con Salmone,"10,00"
Riso Nero con Verdure,"5,00"
Riso Nero Saltato con Pollo,"7,00"
Riso Nero con Gamberi,"7,00"
Riso Nero Saltati con Anatra,"8,00"
Riso Nero Saltato con Salmone,"10,00"
Pad Thai Verdure,"8,00"
Pad Thai Gamberi,"10,00"
Udon con Verdura,"5,00"
Udon Saltati con Pollo,"7,00"
Udon con Gamberi,"7,00"
Udon Saltati con Anatra,"8,00"
Udon con Salmone,"10,00"
Gamberi don,"9,90"
Tuna Don,"9,90"
Salmone Don,"9,90"
Mapo Tofu Don,"8,00"
Tomatoegg Don,"7,50"
Vegan Don,"7,50"
Beijing Anatra Don,"10,00"
Curry Anatra Don,"10,00"
Messican Chili Carne Don,"10,00"
Basilico Thai Manzo Don,"11,00"
Yakiniku Manzo Don,"11,00"
Mandorle Chicken Don,"8,50"
Yellow Curry Chicken Don,"8,50"
Gonbao Chicken Don,"9,00"
Veggie Gamberi Don,"11,50"
Sichuang Gamberi Don,"11,50"
Gamberetti Black Pepper Don,"11,50"
Bacchette Monouso,"0,20"
Vaschetta per Salsa Monouso,"0,20"
Posate Sigillate Bio,"0,50"
Salsa Agrodolce,"0,50"
Salsa Agropiccante,"0,50"
Salsa di Soia,"0,50"
Salsa Zenzero,"0,50"
Wasabi,"0,50"
Chili Maionese Sriracha,"0,50"
Ketchup,"0,50"
Maionese,"0,50"
Salsa Barbecue,"0,50"
Dorayaki di Doraemon,"3,00"
Tris Mochi,"6,00"
Mochi Gelato Belgian,"2,50"
Mochi Gelato Cheesecake,"2,50"
Mochi Gelato al Tè Verde,"2,00"
Mochi Gelato alla Vaniglia,"2,00"
Mochi Gelato al Mango,"2,00"
Acqua Naturale,"1,50"
Acqua Frizzante,"1,50"
Coca Cola Zero in Vetro 33cl,"2,50"
Coca Cola in Vetro 33cl,"2,50"
Fanta in Vetro 33cl,"2,50"
Tè al Limone in Lattina 33cl,"2,00"
Tè alla Pesca in Lattina 33cl,"2,00"
Ichnusa non Filtrata 33cl,"0,00"
Asahi 50cl,"5,00"
Heineken 66cl,"4,00"
Tsingtao 64cl,"4,00"
Reale Extra Birra del Borgo 33cl,"0,00"
Cortigiana Blanche Birra del Borgo 33cl,"0,00"
Duchessa Birra del Borgo 33cl,"0,00"
