title,price
Alette di Pollo Leggermente Piccanti,"6,90"
Alette di Pollo in Salsa Cheddar,"7,90"
Alette di Pollo Speziate al Barbecue,"6,90"
Alette di Pollo Pastellate Speziate,"7,90"
Alette di Pollo in Salsa Barbecue,"7,90"
Alette di Pollo in Salsa Piccante,"7,90"
Supplì Vegetariano,"1,50"
Supplì al Sugo con 'Nduja e Mozzarella,"2,00"
Supplì Cacio e Pepe,"2,00"
Supplì amatriciana,"2,00"
Supplì Bianco Zafferano Cotto e Mozzarella,"2,50"
Supplì Bianco Zafferano e Funghi Porcini,"2,50"
"Supplì Bianco Zafferano, Mozzarella e Nduja","2,50"
Crocchetta di Patate del Fucino,"1,50"
Bocconcini di Formaggio al Chile,"3,00"
Bocconcini di Pollo al Chile,"0,00"
Crocchette di Pollo,"3,00"
Patatine Fritte,"3,00"
Olive Ascolane,"2,50"
Crocchette di Patate,"2,50"
Filetto di Baccalà,"2,50"
Fiore di Zucca,"2,50"
Fritto Vegetale,"4,00"
Mozzarelline,"2,50"
Polpettine di Melanzana,"3,00"
Tartufo Artigianale Bianco,"6,50"
Tartufo Artigianale Nero,"6,50"
Tortino Cocco e Nutella,"6,50"
Tortino Cheesecake ai Frutti di Bosco,"6,50"
Tortino Ricotta e Pera,"6,50"
croccantino al rum 150 g,"6,00"
tortino tiramisù 150 g,"5,00"
tortino oreo 150 g,"6,00"
tortino ricotta e pistacchio 150 g,"6,00"
Acqua Naturale,"1,20"
Acqua Effervescente,"1,20"
Bibita in Lattina,"1,80"
Bibita in Bottiglia 50cl,"2,20"
Coca Cola Zero 50cl,"2,20"
Birra 33cl,"3,00"
Birra 66cl,"3,00"
Ipa,"5,50"
Strong 33cl,"5,50"
Golden Ale,"5,50"
