title,price,description
Hamburger San Francisco,9,"hamburger 150 g , insalata, pomodoro e maionese"
Hamburger New Orleans,10,"hamburger 150 g, doppio cheddar, bacon e salsa chedda"
Hamburger Miami,10,"hamburger 150 g, cipolla rossa di Tropea, cetrioli, chedder, crema di peperoncino e maionese"
Hamburger Philadelphia,10,"hamburger150 g, 'nduja a fetta, scamorza piastrata, pomodori secchi e maionese"
Hamburger Las Vegas,0,"hamburger 150 g, scamorza piastrata, insalata, pomodoro  e maionese"
Hamburger Dallas,9,"hamburger150g, cipolla di Tropea e crema di pecorino"
Hamburger Chicago,10,"mozzarella bufala, pomodoro a fette, sale, olio extravergine d'oliva e origano"
Buffalo Nuggets New Mexico,"5,9",leggermente piccanti
Buffalo Nuggets Ohio,"6,9",in salsa chaddar
Buffalo Nuggets Whashington,"6,9",speziato con salsa barbecue
Buffalo Nuggets,"7,9",pastellato speziato
Buffalo Nuggets in Salsa Barbecue,"7,9",
Buffalo Nuggets in Salsa Piccante,"7,9",
Bocconcini di Formaggio,"3,9",5 pezzi
Bocconcini di Pollo al Chile,0,5 pezzi
Crocchette di Pollo,"3,5",5 pezzi
Patatine Fritte,3,1 porzione
Anelli di Cipolla,3,6 pezzi
Bustina di Ketchup,"0,3",
Bustina di Maionese,"0,3",1 bustina
Acqua Naturale,"1,2",50cl
Acqua Effervescente,"1,2",
Bibita in Lattina,"1,8",
Bibita in Bottiglia 50cl,"2,2",
Coca Cola Zero 50cl,"2,2",
Birra 33cl,3,
Birra 66cl,3,
Ipa,"5,5",
Strong 33cl,"5,5",
Golden Ale,"5,5",
